[09-Apr-2019 08:19:24] : [SUCCESS] | [FILE_NAME]:011_13112018_kasbank.json		| [SIZE]:5.04 KB	| [ROW]:9
[09-Apr-2019 08:19:24] : [SUCCESS] | [FILE_NAME]:012_13112018_kasbank.json		| [SIZE]:4.48 KB	| [ROW]:8
[09-Apr-2019 08:19:24] : [SUCCESS] | [FILE_NAME]:013_13112018_kasbank.json		| [SIZE]:2.80 KB	| [ROW]:5
[09-Apr-2019 08:19:24] : [SUCCESS] | [FILE_NAME]:040_04042019_sls.json			| [SIZE]:865.73 KB	| [ROW]:1139
[09-Apr-2019 08:19:24] : [SUCCESS] | [FILE_NAME]:062_04042019_sls.json			| [SIZE]:1,008.63 KB	| [ROW]:1320
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:063_04042019_sls.json			| [SIZE]:1.75 MB	| [ROW]:2348
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:075_04042019_sls.json			| [SIZE]:1,019.10 KB	| [ROW]:1335
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:116_02042019_sls.json			| [SIZE]:899.69 KB	| [ROW]:1188
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:127_04042019_sls.json			| [SIZE]:1.21 MB	| [ROW]:1632
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:158_04042019_sls.json			| [SIZE]:1.77 MB	| [ROW]:2368
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:174_04042019_inv.json			| [SIZE]:410.96 KB	| [ROW]:864
[09-Apr-2019 08:19:25] : [SUCCESS] | [FILE_NAME]:174_04042019_sls.json			| [SIZE]:646.38 KB	| [ROW]:851
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:180_04042019_sls.json			| [SIZE]:975.05 KB	| [ROW]:1282
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:230_04042019_sls.json			| [SIZE]:488.24 KB	| [ROW]:640
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:236_04042019_sls.json			| [SIZE]:503.74 KB	| [ROW]:661
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:251_04042019_sls.json			| [SIZE]:910.35 KB	| [ROW]:1196
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:252_04042019_sls.json			| [SIZE]:655.09 KB	| [ROW]:858
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:260_04042019_sls.json			| [SIZE]:1.16 MB	| [ROW]:1527
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:272_02042019_inv.json			| [SIZE]:339.73 KB	| [ROW]:712
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:277_04042019_sls.json			| [SIZE]:1.70 MB	| [ROW]:2264
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:294_04042019_sls.json			| [SIZE]:328.87 KB	| [ROW]:432
[09-Apr-2019 08:19:26] : [SUCCESS] | [FILE_NAME]:299_04042019_sls.json			| [SIZE]:998.90 KB	| [ROW]:1302
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:313_02042019_inv.json			| [SIZE]:449.03 KB	| [ROW]:944
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:313_04042019_sls.json			| [SIZE]:751.91 KB	| [ROW]:988
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:317_04042019_sls.json			| [SIZE]:1.20 MB	| [ROW]:1603
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:324_04042019_sls.json			| [SIZE]:503.00 KB	| [ROW]:654
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:330_04042019_inv.json			| [SIZE]:794.59 KB	| [ROW]:1671
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:330_04042019_sls.json			| [SIZE]:1.23 MB	| [ROW]:1649
[09-Apr-2019 08:19:27] : [SUCCESS] | [FILE_NAME]:331_04042019_sls.json			| [SIZE]:689.46 KB	| [ROW]:907
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:353_04042019_inv.json			| [SIZE]:420.92 KB	| [ROW]:886
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:353_04042019_sls.json			| [SIZE]:669.24 KB	| [ROW]:876
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:354_04042019_inv.json			| [SIZE]:269.75 KB	| [ROW]:568
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:354_04042019_sls.json			| [SIZE]:433.94 KB	| [ROW]:568
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:357_04042019_sls.json			| [SIZE]:821.72 KB	| [ROW]:1069
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:366_04042019_sls.json			| [SIZE]:600.50 KB	| [ROW]:788
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:371_04042019_sls.json			| [SIZE]:858.82 KB	| [ROW]:1125
[09-Apr-2019 08:19:28] : [SUCCESS] | [FILE_NAME]:413_04042019_sls.json			| [SIZE]:642.14 KB	| [ROW]:836
